CompanyId,CountryId,Rate,ModifiedDate,OperatorId,VendorId,ExternalId
---------,---------,----,------------,----------,--------,----------
1,243,0.1205,2023-05-25 11:18:20.307,1,1,A3F44B30-4817-463C-8C17-115603FC77A8
1,56,1.9990001E-2,2022-02-09 09:50:38.630,2,1,297AC7D3-EF70-45EB-A6D9-CF18386652B4
1,200,0.1401,2023-03-01 11:46:03.180,3,1,8865A2DF-2D38-42F5-8090-E4B6A5FF334C
1,164,0.14049999,2023-03-01 11:46:03.977,17,1,515DD21D-8922-44F5-8C5F-0FC1E88A886A
1,164,0.13850001,2022-10-25 09:19:18.500,18,1,337F8489-FA34-484D-8884-AA45F771D0E5
1,25,0.05359,2023-05-25 11:18:20.130,19,1,A99E87FF-266B-43E8-9E15-8F8B029121D0
1,225,0.1505,2023-06-26 11:18:20.920,20,1,6310C3A3-D813-4F9B-A952-F9AB2698A091
1,120,2.8000001E-2,2023-06-26 11:18:20.930,21,1,B5EEFD9E-0413-4F92-BD9F-6D7F3890A30A
1,163,7.4900001E-2,2023-03-01 11:46:03.770,24,1,7C28A93B-8A74-4517-A02A-9CAA39FDEE9B
1,204,4.3000001E-2,2021-04-01 15:03:23.207,29,1,BB387B0B-B4EF-4D36-9445-CFAD91C3AAC0
1,87,6.1779998E-2,2023-06-26 11:18:20.920,30,1,2D647840-42B1-489E-980E-9C330E6893D6
1,198,0.02579,2023-05-25 11:18:20.350,31,1,B7ABB70C-7048-4EF1-B9C7-2953DA318EA0
1,230,0.02,2021-01-15 16:36:42.017,33,1,4FCD2C32-F4ED-45AE-A7AB-72C56FE5D935
1,192,0.01065,2022-08-23 11:58:04.447,34,1,68C0368A-17A8-48E5-870D-3376DC8CA260
1,117,3.0999999E-2,2022-08-08 11:50:52.100,35,1,4E8EB55B-6986-4AA6-B5DB-9B4B003317C0
1,257,0.1925,2023-04-14 16:28:40.903,37,1,263FB161-6517-4A1A-B6B2-5DF04D26CDED
1,66,5.2499998E-2,2023-03-01 11:46:03.183,38,1,E51FDE17-C882-44D6-9667-95977A9480DA
1,106,0.00157,2021-03-10 06:32:36.357,52,1,4040DE04-F5BB-4C4B-832F-4CF9548B3EE4
1,106,0.00157,2021-03-10 06:32:36.360,54,1,DD938B8D-A7EA-4B38-8AD1-467F5CBD00E0
1,17,8.0000004E-3,2021-05-09 16:10:45.563,65,1,84B4BC32-FBD7-4347-B936-64CDDB043E72
1,106,0.00157,2021-03-10 06:32:36.360,86,1,10A7E458-99F3-452E-B4AF-C13CF323A77C
1,17,8.0000004E-3,2021-05-09 16:10:45.563,113,1,D0A85A5A-CECE-4492-9E16-41422D5BB856
1,106,0.00157,2021-03-10 06:32:36.360,119,1,A888C897-5488-4282-BDAB-9192B0F36DAC
